Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Philadelphia,PA,1,Villanova,58,33,809,1942,0.417,288,769,0.375,521,1173,0.417,2449,2107,403,459,739,2134.317287145242,0.5424189804560837,0.49073120494335737,370,0.1733575425867884,543,717,0.36920700308959836,1.147439518364986,0.9872009249469275,9.23,0
One,Philadelphia,PA,16,Monmouth,45,34,787,1785,0.441,217,644,0.337,570,1141,0.441,2191,2155,502,296,818,2250.0598204667863,0.5349957024535084,0.5016806722689076,510,0.22666064046874893,400,597,0.334453781512605,0.9737518887588802,0.9577523141375567,-4.05,1
One,Philadelphia,PA,8,Arizona,94,33,909,2037,0.446,142,445,0.319,767,1592,0.446,2433,2267,492,453,687,2261.1922105263156,0.5219954687446363,0.48109965635738833,437,0.19326088156755314,473,667,0.3274423171330388,1.0759810637388028,1.0025684634179473,10.09,0
One,Philadelphia,PA,9,Wisconsin,75,31,776,1796,0.432,199,573,0.347,577,1223,0.432,2205,2035,421,400,724,2040.2014234875444,0.5257611017854418,0.48747216035634744,359,0.17596301809569428,454,684,0.38084632516703787,1.080775640392774,0.9974505343307462,7.24,1
One,Salt Lake City,UT,5,Nevada,79,33,866,1901,0.456,179,497,0.36,687,1404,0.456,2401,2103,514,420,848,2232.979022082019,0.5454140694568121,0.502630194634403,426,0.19077653474899178,490,682,0.3587585481325618,1.075245211108754,0.9417912032326988,2.26,1
One,Salt Lake City,UT,12,Montana,87,31,876,1781,0.492,228,590,0.386,648,1191,0.492,2449,2202,565,348,748,2165.731204379562,0.5920263788968825,0.5558674901740596,431,0.1990089994217324,469,653,0.3666479505895564,1.130795915507709,1.0167466745398022,-0.96,0
One,Salt Lake City,UT,4,Boston College,88,36,949,1958,0.485,211,585,0.361,738,1373,0.485,2671,2383,639,466,811,2369.2238214565386,0.5745272142205703,0.5385597548518897,472,0.1992213634378479,562,833,0.4254341164453524,1.1273734358951097,1.0058146378652364,6.1,0
One,Salt Lake City,UT,13,Pacific,76,32,858,1763,0.487,215,553,0.389,643,1210,0.487,2377,2047,514,320,815,2148.185022026432,0.5865891457564212,0.5476460578559273,419,0.1950483760494465,446,598,0.33919455473624505,1.1065154889487694,0.9528974362129283,-1.57,1
One,Jacksonville,FL,6,Oklahoma,74,29,716,1586,0.451,174,485,0.359,542,1101,0.451,1995,1847,423,420,640,1846.1528301886792,0.5463358527768649,0.5063051702395964,411,0.2226251225138253,389,545,0.34363177805800754,1.0806255946838965,1.0004588839003292,6.79,1
One,Jacksonville,FL,11,Milwaukee,82,31,797,1832,0.435,204,609,0.335,593,1223,0.435,2294,2061,389,452,733,2118.1802531645567,0.5338956227075536,0.49072052401746724,421,0.19875551165724772,496,719,0.39246724890829693,1.083005092023103,0.9730050107496142,1.47,0
One,Jacksonville,FL,3,Florida,76,39,1061,2120,0.5,289,738,0.392,772,1382,0.5,3052,2478,650,421,981,2685.537710413695,0.6105758458436029,0.5686320754716981,561,0.2088967128722912,641,862,0.4066037735849057,1.1364576964103972,0.9227202397460563,5.49,0
One,Jacksonville,FL,14,South Alabama,50,31,797,1760,0.453,267,728,0.367,530,1032,0.453,2283,2033,436,346,703,2075.131687321258,0.5639822134387352,0.5286931818181818,415,0.19998730805162268,422,600,0.3409090909090909,1.1001711428478422,0.9796968608890335,-2.18,1
One,Dayton,OH,7,Georgetown,54,33,787,1682,0.468,223,628,0.355,564,1054,0.468,2177,1944,514,354,725,1964.0126969416126,0.5673052868579053,0.5341854934601664,381,0.19399059924271284,380,538,0.31985731272294887,1.1084449725758159,0.9898103016478577,6.92,0
One,Dayton,OH,10,Northern Iowa,49,33,754,1662,0.454,219,642,0.341,535,1020,0.454,2165,1907,439,279,821,2059.7770545454546,0.5610203573945852,0.5195547533092659,401,0.1946812637392407,438,608,0.3658243080625752,1.0510846284175963,0.9258283539918504,5.13,1
One,Dayton,OH,2,Ohio State,70,32,833,1791,0.465,262,718,0.365,571,1073,0.465,2363,2037,491,321,767,2109.9696139705884,0.5742015124122781,0.5382467895030709,379,0.17962343983086526,435,606,0.33835845896147404,1.1199213412146032,0.9654167465315898,5.89,0
One,Dayton,OH,15,Davidson,62,31,855,1885,0.454,277,751,0.369,578,1134,0.454,2403,2137,567,393,822,2146.3182716049387,0.5652308908208198,0.5270557029177719,399,0.18589973597049161,416,547,0.2901856763925729,1.1195916429501036,0.9956584856364425,-3.04,1
Two,Greensboro,NC,1,Duke,70,36,979,2011,0.487,274,709,0.386,705,1302,0.487,2921,2453,546,350,854,2548.0,0.6062178316453595,0.5549477871705619,496,0.1946624803767661,689,905,0.4500248632521134,1.1463893249607535,0.9627158555729984,8.77,0
Two,Greensboro,NC,16,Southern,54,33,787,1796,0.438,143,448,0.319,644,1348,0.438,2093,2070,391,422,812,2220.1910372771476,0.5100797410851806,0.4780066815144766,561,0.25268095879173214,376,581,0.3234966592427617,0.9427116697880488,0.9323522008892791,-6.69,1
Two,Greensboro,NC,8,George Washington,88,30,845,1814,0.466,182,511,0.356,663,1303,0.466,2360,2026,511,421,722,2154.105485564304,0.5498089646817632,0.515986769570011,420,0.19497652404425958,488,755,0.41620727673649394,1.0955823732010777,0.9405296136039759,-0.33,0
Two,Greensboro,NC,9,UNC Wilmington,85,33,807,1867,0.432,216,639,0.338,591,1228,0.432,2250,1975,506,389,802,2150.9518052057097,0.52781218331269,0.49009105516871987,414,0.19247293174958258,420,601,0.32190680235672203,1.0460485421172967,0.9181981647474048,0.57,1
Two,Jacksonville,FL,5,Syracuse,58,35,913,2083,0.438,260,766,0.339,653,1317,0.438,2535,2412,541,476,862,2448.8304932735423,0.5303081016852711,0.500720115218435,532,0.21724655971954768,449,698,0.33509361497839657,1.035188024227544,0.9849599662472726,8.16,1
Two,Jacksonville,FL,12,Texas A&M,66,31,725,1627,0.446,203,563,0.361,522,1064,0.446,2130,1869,509,325,668,2007.9183282980866,0.5501374052110668,0.5079901659496004,416,0.20717974139545903,477,702,0.43146896127842654,1.060800118202711,0.9308147516060407,4.77,0
Two,Jacksonville,FL,4,LSU,80,36,972,2092,0.465,147,454,0.324,825,1638,0.465,2633,2299,547,496,951,2550.6146510020735,0.5400272372263971,0.49976099426386233,555,0.21759460990391247,542,786,0.375717017208413,1.0323001943729757,0.901351366070441,8.77,0
Two,Jacksonville,FL,13,Iona,64,31,881,1835,0.48,196,488,0.402,685,1347,0.48,2475,2238,481,413,727,2232.3911052631574,0.5718259615917787,0.5335149863760218,468,0.20964068477814127,517,748,0.40762942779291556,1.1086766983459395,1.0025125054134192,-0.78,1
Two,Auburn Hills,MI,6,West Virginia,64,33,835,1875,0.445,337,967,0.349,498,908,0.445,2334,2093,576,258,657,2023.8268852459016,0.5642696889989169,0.5352,287,0.14181054817103517,327,439,0.23413333333333333,1.1532606948822164,1.0341793634912078,8.54,0
Two,Auburn Hills,MI,11,Southern Illinois,46,33,707,1714,0.412,183,548,0.334,524,1166,0.412,1994,1864,404,384,689,2032.9931407269337,0.5064101261707877,0.46586931155192535,473,0.23266187697557614,397,579,0.337806301050175,0.9808198365524288,0.9168747118022704,4.62,1
Two,Auburn Hills,MI,3,Iowa,63,34,781,1811,0.431,191,570,0.335,590,1241,0.431,2254,2003,502,372,913,2280.3484824902725,0.5311928508135216,0.48398674765323024,506,0.2218959092811195,501,706,0.3898398674765323,0.9884454140704413,0.8783745183598465,6.8,1
Two,Auburn Hills,MI,14,Northwestern State,64,34,914,1981,0.461,226,616,0.367,688,1365,0.461,2573,2365,589,458,766,2400.399003267974,0.5536286019210245,0.5184250378596669,535,0.22287961262758202,519,779,0.3932357395254922,1.0719051276462963,0.9852528670359466,-1.38,0
Two,Dallas,TX,7,California,52,31,717,1598,0.449,169,452,0.374,548,1146,0.449,2128,2000,402,301,701,1985.2226846307385,0.5561828294233262,0.5015644555694618,384,0.19342918201210557,525,716,0.44806007509386736,1.0719200503170851,1.00744365631305,8.84,1
