Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Cleveland,OH,1,Ohio State,75,37,1017,2059,0.494,285,674,0.423,732,1385,0.494,2854,2208,587,419,858,2373.373954581049,0.5958943007950824,0.5631374453618261,375,0.15800291364796554,535,763,0.3705682370082564,1.202507508136783,0.9303211555592211,8.38,0
One,Cleveland,OH,16,UTSA,46,34,802,1871,0.429,234,667,0.351,568,1204,0.429,2384,2363,430,362,824,2292.471450252951,0.538986055092333,0.4911811865312667,461,0.20109301686140227,546,774,0.4136825227151256,1.0399257097561454,1.0307652903329578,-4.93,1
One,Cleveland,OH,8,George Mason,61,34,876,1861,0.471,227,574,0.395,649,1287,0.471,2474,2124,483,364,824,2201.272558922559,0.5682340187053267,0.5317033852767329,376,0.17081028811081805,495,718,0.3858140784524449,1.1238953531546911,0.9648964147536637,1.37,0
One,Cleveland,OH,9,Villanova,57,33,796,1819,0.438,210,604,0.348,586,1215,0.438,2384,2159,450,402,821,2158.8017825020443,0.5525271628286423,0.4953271028037383,392,0.18158221063986396,582,769,0.422759758108851,1.104316301442438,1.0000918182945568,8.23,1
One,Tampa,FL,5,West Virginia,84,33,783,1826,0.429,206,611,0.337,577,1215,0.429,2303,2134,491,469,758,2095.2240505297477,0.5344181038483673,0.48521358159912376,397,0.18947854283155263,531,747,0.4090909090909091,1.0991664587936163,1.0185068272104114,11.03,0
One,Tampa,FL,12,Clemson,76,34,810,1827,0.443,217,630,0.344,593,1197,0.443,2330,2086,445,384,793,2202.1745454545453,0.5453302875973637,0.5027367268746579,449,0.20388937876280966,493,703,0.38478379857690204,1.0580451058292795,0.9472455325149688,6.58,1
One,Tampa,FL,4,Kentucky,59,38,1002,2183,0.459,281,707,0.397,721,1476,0.459,2845,2412,482,445,975,2508.5907394366195,0.5622174091757043,0.5233623453962437,406,0.16184385663927775,560,789,0.3614292258360055,1.1341028870412444,0.9614960153052658,8.91,0
One,Tampa,FL,13,Princeton,57,32,788,1696,0.465,193,531,0.363,595,1165,0.465,2215,2017,427,315,790,2051.6394570135744,0.5639116886290964,0.5215212264150944,389,0.1896044642104123,446,609,0.3590801886792453,1.0796243913266408,0.983116206458616,-1.61,1
One,Cleveland,OH,6,Xavier,55,32,784,1700,0.461,173,526,0.329,611,1174,0.461,2306,2067,424,328,802,2103.9049911504426,0.5672426007556676,0.5120588235294118,386,0.18346836079747603,565,756,0.4447058823529412,1.0960570984429525,0.9824588128714584,4.41,1
One,Cleveland,OH,11,Marquette,66,37,973,2094,0.465,191,547,0.349,782,1547,0.465,2782,2546,574,457,872,2507.341166290444,0.5559819016099893,0.5102674307545367,455,0.18146712785526609,645,927,0.44269340974212035,1.1095418674579127,1.0154182582846318,8.51,0
One,Cleveland,OH,3,Syracuse,77,35,936,1983,0.472,222,628,0.354,714,1355,0.472,2568,2216,566,429,879,2333.7654357798165,0.5590581350795917,0.5279878971255674,433,0.18553706956214094,474,713,0.3595562279374685,1.100367655047524,0.9495384437637514,8.79,0
One,Cleveland,OH,14,Indiana State,60,34,769,1793,0.429,235,649,0.362,534,1144,0.429,2253,2192,431,352,820,2211.3220477815703,0.5388817665180536,0.49442275515895145,477,0.21570806499149828,480,676,0.3770217512548801,1.0188475270982087,0.9912622189965706,2.9,1
One,Charlotte,NC,7,Washington,68,35,1061,2260,0.469,305,821,0.371,756,1439,0.469,2907,2474,593,488,879,2512.81182150695,0.5648433128147733,0.5369469026548672,426,0.16953119861738195,480,712,0.31504424778761064,1.1568713483115711,0.9845544257732463,7.74,0
One,Charlotte,NC,10,Georgia,65,33,823,1822,0.452,156,456,0.342,667,1366,0.452,2267,2125,495,407,836,2182.796371681416,0.5358122033770114,0.49451152579582874,444,0.20340880430270514,465,667,0.36608122941822174,1.0385760345816049,0.9735218674397487,6.13,1
One,Charlotte,NC,2,UNC,102,37,1044,2317,0.451,190,579,0.328,854,1738,0.451,2868,2545,573,525,1053,2708.0265209125473,0.5304588432002131,0.4915839447561502,493,0.1820513928474635,590,878,0.3789382822615451,1.0590738228935606,0.9397987724072914,10.14,0
One,Charlotte,NC,15,LIU-Brooklyn,87,33,928,2009,0.462,229,635,0.361,699,1374,0.462,2730,2466,503,479,899,2511.535464441219,0.5574705132812755,0.5189148830263813,505,0.20107221544345397,645,999,0.49726231956197114,1.0869844518032263,0.9818694718486286,-5.77,1
Two,Washington,DC,1,Pitt,74,34,886,1866,0.475,202,512,0.395,684,1354,0.475,2514,2073,595,484,875,2211.547167034584,0.5661652103414108,0.5289389067524116,397,0.17951233684621284,540,805,0.43140407288317256,1.13676074264831,0.9373528319450862,7.85,0
Two,Washington,DC,16,UNC Asheville,51,34,881,1950,0.452,168,515,0.326,713,1435,0.452,2506,2333,492,400,813,2402.8095630667767,0.5432708983697537,0.4948717948717949,506,0.21058680961556406,576,810,0.4153846153846154,1.0429457409023786,0.9709466933460691,-2.89,1
Two,Washington,DC,8,Butler,60,38,919,2122,0.433,289,822,0.352,630,1300,0.433,2707,2437,452,431,906,2442.65047868362,0.5471870502433739,0.5011781338360037,416,0.17030680550914862,580,799,0.3765315739868049,1.108222409887657,0.9976867428504691,5.02,0
