Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Charlotte,NC,1,UNC,96,37,1128,2260,0.499,277,687,0.403,851,1573,0.499,3257,2600,706,502,997,2847.567925283522,0.6033447938587392,0.5603982300884955,594,0.2085990626337237,724,998,0.4415929203539823,1.1437830757542728,0.913059870113942,10.66,0
One,Charlotte,NC,16,Oakland,68,32,811,1804,0.45,201,593,0.339,610,1211,0.45,2269,2352,474,384,660,2071.591724137931,0.5404336807606563,0.5052660753880266,390,0.18826103399418337,446,671,0.3719512195121951,1.0952930413661592,1.1353588511649213,0.86,1
One,Charlotte,NC,8,Minnesota,53,32,771,1707,0.452,170,487,0.349,601,1220,0.452,2175,2012,453,373,718,2142.9921539871675,0.5449379647631838,0.5014645577035736,516,0.2407848293051146,463,656,0.38429994141769186,1.0149360537570238,0.9388741793835089,6.96,1
One,Charlotte,NC,9,Iowa State,64,31,784,1794,0.437,113,387,0.292,671,1407,0.437,2112,2005,444,376,724,2082.397090909091,0.5096328327091618,0.4685061315496098,405,0.19448740193120098,431,632,0.35228539576365664,1.0142157848856703,0.9628326935112542,8.4,0
One,Nashville,TN,5,Villanova,55,32,801,1840,0.435,225,626,0.359,576,1214,0.435,2336,1996,385,463,730,2094.3406621961444,0.5446541818995747,0.4964673913043478,409,0.19528819135427516,509,692,0.3760869565217391,1.115386833749601,0.9530445719881008,8.43,0
One,Nashville,TN,12,New Mexico,47,33,855,1733,0.493,269,688,0.391,586,1045,0.493,2492,2121,491,327,800,2216.4148890860693,0.6033313964749177,0.5709751875360646,454,0.204835296061021,513,755,0.4356607039815349,1.124338233004547,0.9569507994392633,1.5,1
One,Nashville,TN,4,Florida,67,32,844,1751,0.482,244,626,0.39,600,1125,0.482,2438,2020,475,366,820,2181.9064586846544,0.5900176182455326,0.5516847515705311,444,0.20349176667622224,506,716,0.4089091947458595,1.117371457559977,0.9257958754188489,7.12,0
One,Nashville,TN,13,Ohio,62,32,773,1675,0.461,182,555,0.328,591,1120,0.461,2288,2174,374,348,702,2098.925028571429,0.5641359449277077,0.5158208955223881,423,0.2015317337408199,560,802,0.47880597014925375,1.0900818127635838,1.0357682958688947,1.79,1
One,Oklahoma City,OK,6,Wisconsin,57,34,788,1789,0.44,250,640,0.391,538,1149,0.44,2290,2047,444,342,834,2140.5153571428573,0.5477420589360887,0.5103409726103969,389,0.1817319360507808,464,685,0.38289547233091115,1.0698358189107662,0.9563117560307155,9.61,0
One,Oklahoma City,OK,11,Northern Iowa,52,32,847,1763,0.48,226,593,0.381,621,1170,0.48,2311,2127,491,283,788,2101.0140429505136,0.5750472777943665,0.5445263754963131,373,0.1775333207560029,391,560,0.31764038570618264,1.0999450516544844,1.0123682928901292,5.31,1
One,Oklahoma City,OK,3,Kansas,63,30,801,1684,0.476,198,539,0.367,603,1145,0.476,2251,1956,495,350,779,2083.7005314437556,0.5714474298828165,0.5344418052256532,433,0.2078033735970604,451,649,0.3853919239904988,1.0802895934572354,0.9387145467802542,10.85,1
One,Oklahoma City,OK,14,Bucknell,64,33,704,1585,0.444,218,591,0.369,486,994,0.444,2097,1946,416,306,738,2085.500172413793,0.5575111130016802,0.5129337539432177,508,0.24358664972539049,471,672,0.42397476340694007,1.0055141820357163,0.9331094889086808,-2.19,0
One,Worcester,MA,7,Charlotte,63,29,763,1767,0.432,232,630,0.368,531,1137,0.432,2257,2093,409,420,699,2044.7849865951744,0.5404175845225554,0.49745331069609505,389,0.1902400509345162,499,730,0.41312959818902095,1.1037835345994937,1.0235795028430397,3.97,1
One,Worcester,MA,10,NC State,75,35,871,1915,0.455,294,795,0.37,577,1120,0.455,2559,2314,529,375,746,2273.1113291703837,0.5708282027945821,0.5315926892950391,435,0.1913676617672579,523,742,0.38746736292428197,1.1257697619825584,1.017987975469965,9.16,0
One,Worcester,MA,2,UConn,77,31,862,1872,0.46,154,486,0.317,708,1386,0.46,2419,2072,531,478,934,2283.353966005666,0.5467605735674376,0.5016025641025641,468,0.20496165157375285,541,773,0.4129273504273504,1.059406485378009,0.9074370556855041,7.62,0
One,Worcester,MA,15,UCF,71,33,784,1702,0.461,283,759,0.373,501,943,0.461,2304,2152,512,405,769,2119.545400340716,0.5793486351109413,0.5437720329024677,496,0.23401244432899068,453,651,0.38249118683901295,1.0870255478507953,1.0153120568467497,-7.78,1
Two,Boise,ID,1,Washington,88,35,1102,2271,0.485,257,670,0.384,845,1601,0.485,3026,2596,660,523,782,2577.109509578544,0.5796401863430183,0.5418317921620431,499,0.19362778265546254,565,771,0.3394980184940555,1.1741837080469533,1.0073301077626868,7.66,0
Two,Boise,ID,16,Montana,77,31,735,1606,0.458,182,514,0.354,553,1092,0.458,2152,2132,424,322,796,2161.1793023255814,0.5571780691397916,0.5143212951432129,528,0.24431105713062992,500,739,0.4601494396014944,0.9957526419415067,0.9864984352320132,-3.49,1
Two,Boise,ID,8,Pacific,79,31,794,1598,0.497,201,526,0.382,593,1072,0.497,2258,2011,462,310,794,2032.8358695652175,0.6019278752852361,0.5597622027534418,424,0.20857561908856173,469,631,0.3948685857321652,1.1107635563725764,0.9892584197808907,1.16,0
Two,Boise,ID,9,Pitt,71,29,738,1567,0.471,175,462,0.379,563,1105,0.471,2097,1842,439,414,689,1923.8621758839527,0.5622345673716271,0.52680280791321,419,0.21779106905487292,446,677,0.4320357370772176,1.0899949207829798,0.9574490434345487,5.73,1
