Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Raleigh,NC,1,Virginia,70,37,855,1884,0.454,206,559,0.369,649,1325,0.454,2449,2060,484,379,933,2244.7433155487806,0.5484931555937791,0.5084925690021231,362,0.16126565451493527,533,792,0.42038216560509556,1.0909933367598799,0.9176995809413444,7.86,0
One,Raleigh,NC,16,Coastal Carolina,59,34,861,1969,0.437,212,628,0.338,649,1341,0.437,2458,2326,362,434,902,2360.070479041916,0.5337630074874485,0.49111223971559165,473,0.2004177435379036,524,758,0.3849669883189436,1.0414943205415794,0.9855637874612342,-6.31,1
One,Raleigh,NC,8,Memphis,71,34,958,2009,0.477,182,552,0.33,776,1457,0.477,2614,2397,591,427,841,2399.700165615142,0.5534758452469679,0.5221503235440518,449,0.187106708760385,516,801,0.3987058237929318,1.089302754342197,0.9988747904201399,7.14,0
One,Raleigh,NC,9,George Washington,66,33,839,1812,0.463,187,514,0.364,652,1298,0.463,2415,2211,461,394,835,2244.2348738812043,0.5529352504808133,0.5146247240618101,428,0.19071087655803695,550,845,0.4663355408388521,1.0760905768403253,0.9851910001631302,4.42,1
One,Spokane,WA,5,Cincinnati,57,34,805,1893,0.425,196,585,0.335,609,1308,0.425,2325,1986,425,457,767,2128.5422222222223,0.5247075178739077,0.47702060221870046,377,0.17711652419391882,519,733,0.387216059165346,1.0922968667131598,0.9330329364698218,5.28,1
One,Spokane,WA,12,Harvard,61,32,786,1691,0.465,184,478,0.385,602,1213,0.465,2343,1952,449,335,757,2083.3329212454214,0.5720661770450817,0.5192193968066233,365,0.1752000346549519,587,811,0.47959787108219987,1.1246402224563077,0.9369601853327838,-0.47,0
One,Spokane,WA,4,Michigan State,93,38,1024,2159,0.474,307,783,0.392,717,1376,0.474,2870,2491,637,395,1005,2537.551607142857,0.5787877321200974,0.5453913849004168,430,0.169454681745037,515,728,0.33719314497452524,1.1310114804843168,0.9816549121555516,9.38,0
One,Spokane,WA,13,Delaware,78,35,936,2108,0.444,252,727,0.347,684,1381,0.444,2782,2648,377,385,879,2430.0337025316458,0.5530815109343936,0.5037950664136622,334,0.13744665337440948,658,925,0.4388045540796964,1.1448400888850514,1.0896968207647795,-1.09,1
One,San Antonio,TX,6,UNC,79,34,953,2057,0.463,146,434,0.336,807,1623,0.463,2604,2372,523,483,867,2393.1642666666667,0.5324979141786772,0.498784637822071,406,0.16964986718838967,552,882,0.42877977637335923,1.0880991481738098,0.9911563669233013,8.42,0
One,San Antonio,TX,11,Providence,77,35,849,1984,0.428,218,628,0.347,631,1356,0.428,2566,2443,476,432,846,2311.8816901408454,0.546041095657207,0.48286290322580644,406,0.17561452289336896,650,831,0.4188508064516129,1.1099183885329673,1.0567149739618236,7.85,1
One,San Antonio,TX,3,Iowa State,93,36,1062,2239,0.474,301,840,0.358,761,1399,0.474,2989,2678,663,375,1012,2604.1016222062003,0.5754362457453527,0.5415364001786512,380,0.14592364474550085,564,814,0.3635551585529254,1.1478046688007948,1.0283776858643454,9.88,0
One,San Antonio,TX,14,North Carolina Central,75,34,847,1832,0.462,184,545,0.338,663,1287,0.462,2513,2023,500,403,794,2214.9613617376776,0.5670945262853843,0.5125545851528385,389,0.17562383106079213,635,872,0.4759825327510917,1.134557037161364,0.9133342165449422,-8.03,1
One,Buffalo,NY,7,UConn,89,40,971,2163,0.449,287,741,0.387,684,1422,0.449,2873,2529,488,387,1002,2596.239827213823,0.5682897110485172,0.515256588072122,457,0.17602379996243778,644,829,0.3832639852057328,1.106600387947667,0.9741010724398362,8.62,0
One,Buffalo,NY,10,St. Joseph's,81,34,840,1789,0.47,250,660,0.379,590,1129,0.47,2433,2298,476,319,899,2244.0540476190477,0.5705374730325485,0.5394074902179988,409,0.1822594248271119,503,780,0.4359977641140302,1.0841984855852402,1.0240395067303256,5.08,1
One,Buffalo,NY,2,Villanova,73,34,870,1907,0.456,304,855,0.356,566,1052,0.456,2651,2261,523,379,884,2319.2351464766425,0.5813290528568672,0.5359202936549554,406,0.17505771271912246,607,848,0.44467750393287886,1.1430492522620535,0.9748903656599406,7.5,0
One,Buffalo,NY,15,Milwaukee,53,35,808,1888,0.428,245,754,0.325,563,1134,0.428,2465,2469,476,343,839,2350.8609137055837,0.5477485645210034,0.4928495762711864,469,0.19950138150058863,604,823,0.4359110169491525,1.0485520370979764,1.050253541417811,-0.44,1
