Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Dayton,OH,1,Indiana,83,36,951,1971,0.482,257,637,0.403,694,1334,0.482,2831,2236,514,439,831,2424.336535433071,0.5975700366436447,0.5476915271435819,469,0.19345498990973226,672,904,0.45865043125317095,1.1677421672376376,0.9223141949640967,8.38,0
One,Dayton,OH,16,James Madison,62,36,818,1941,0.421,211,628,0.336,607,1313,0.421,2346,2326,423,365,699,2215.3935620300754,0.5201404778374927,0.47578567748583206,401,0.1810062134659919,499,714,0.3678516228748068,1.0589540568359526,1.049926315515953,-2.28,1
One,Dayton,OH,8,NC State,72,35,985,1987,0.496,184,471,0.391,801,1516,0.496,2708,2458,511,396,790,2387.217335581787,0.5774676720461291,0.5420231504781077,433,0.1813827310760852,554,813,0.40915953699043783,1.1343751403095583,1.0296506997344514,7.17,1
One,Dayton,OH,9,Temple,76,34,851,1986,0.428,243,740,0.328,608,1246,0.428,2456,2309,497,381,676,2197.046499526963,0.5345917425601199,0.48967774420946625,366,0.16658727982261728,511,707,0.35599194360523667,1.1178643695200767,1.0509563636896813,5.2,0
One,San Jose,CA,5,UNLV,61,35,872,2002,0.436,227,689,0.329,645,1313,0.436,2498,2206,562,418,863,2393.2615144418423,0.5358951035749224,0.49225774225774227,487,0.20348800039663797,525,747,0.37312687312687315,1.0437639116854243,0.9217546794147502,5.71,1
One,San Jose,CA,12,California,64,33,833,1875,0.444,134,443,0.302,699,1432,0.444,2218,2123,468,361,773,2171.067601410935,0.5200712811855186,0.48,417,0.19207140290288507,418,585,0.312,1.0216171981740987,0.9778599241314749,7.77,0
One,San Jose,CA,4,Syracuse,81,40,1007,2293,0.439,233,696,0.335,774,1597,0.439,2816,2347,562,560,820,2566.815072463768,0.5285444007327548,0.48996947230702137,495,0.19284599241692632,569,843,0.36764064544265157,1.097079423527403,0.9143627155606587,8.57,0
One,San Jose,CA,13,Montana,34,32,760,1635,0.465,219,589,0.372,541,1046,0.465,2238,2096,405,248,657,2029.8364640883979,0.5823757182113415,0.5318042813455658,391,0.19262635533330938,499,651,0.3981651376146789,1.1025518752837504,1.032595500712574,-4.21,1
One,Lexington,KY,6,Butler,68,36,869,1931,0.45,239,688,0.347,630,1243,0.45,2495,2299,465,419,794,2310.0802473206923,0.5523920012752617,0.511910926980839,474,0.2051876771595969,518,744,0.38529259451061626,1.0800490601544184,0.9952035227635302,6.08,0
One,Lexington,KY,11,Bucknell,56,34,818,1807,0.453,157,438,0.358,661,1369,0.453,2277,1966,455,308,834,2103.3929597197903,0.5437274342369189,0.4961261759822911,321,0.1526105707051349,484,652,0.36081903707802987,1.0825366650953026,0.9346803177766205,-1.96,1
One,Lexington,KY,3,Marquette,59,35,842,1844,0.457,147,497,0.296,695,1347,0.457,2382,2191,483,418,698,2215.4278494623654,0.5472842569616764,0.49647505422993493,471,0.21260001769604056,551,755,0.4094360086767896,1.0751873506411225,0.9889737553546176,8.58,0
One,Lexington,KY,14,Davidson,58,34,837,1813,0.462,256,694,0.369,581,1119,0.462,2490,2110,473,306,742,2160.6745038167937,0.5865005935668657,0.5322669608383894,371,0.17170564068981006,560,704,0.38830667402095975,1.1524179119073505,0.9765469052708874,-3.45,1
One,Austin,TX,7,Illinois,57,36,858,2084,0.412,280,873,0.321,578,1211,0.412,2465,2332,365,427,671,2243.2477777777776,0.5204286727696518,0.47888675623800386,411,0.18321649711256943,469,646,0.30998080614203455,1.0988532004439993,1.039564163665479,10.08,0
One,Austin,TX,10,Colorado,49,33,775,1788,0.433,178,517,0.344,597,1271,0.433,2230,2098,328,378,750,2156.574840425532,0.5284159842280861,0.48322147651006714,439,0.20356353592318513,502,732,0.40939597315436244,1.0340471186986397,0.9728389484438323,7.95,1
One,Austin,TX,2,Miami (FL),78,36,895,1968,0.455,254,701,0.362,641,1267,0.455,2509,2181,408,357,822,2269.3534605597965,0.5533256880733946,0.5193089430894309,377,0.16612661119215993,465,680,0.34552845528455284,1.1056012400029955,0.9610666817244055,7.88,0
One,Austin,TX,15,Pacific,49,35,824,1839,0.448,225,590,0.381,599,1249,0.448,2344,2238,510,333,704,2153.849132111861,0.5476737882951083,0.5092441544317564,390,0.18107117819231974,471,684,0.3719412724306688,1.0882842094430705,1.0390699917805426,1.05,1
Two,Kansas City,MO,1,Kansas,64,37,985,2049,0.481,216,594,0.364,769,1455,0.481,2782,2292,575,399,955,2554.109955686854,0.5783879981371831,0.5334309419228892,517,0.20241884999855764,596,809,0.3948267447535383,1.0892248369361457,0.8973771841328706,7.54,0
Two,Kansas City,MO,16,Western Kentucky,57,36,837,1959,0.427,226,709,0.319,611,1250,0.427,2409,2364,400,441,763,2358.267325581395,0.5257070530726258,0.4849412965798877,537,0.2277095536094962,509,755,0.3854007146503318,1.0215126902146674,1.002430884046274,-1.14,1
Two,Kansas City,MO,8,UNC,78,36,1023,2321,0.441,272,723,0.376,751,1598,0.441,2762,2492,616,478,776,2486.594035087719,0.5292810056722368,0.4993537268418785,433,0.17413377249765868,442,655,0.28220594571305474,1.1107563040150885,1.0021740440280957,8.01,0
Two,Kansas City,MO,9,Villanova,71,34,732,1760,0.416,204,617,0.331,528,1143,0.416,2307,2214,413,383,733,2271.1047670250896,0.5362223172613846,0.4738636363636364,533,0.23468754402650233,639,889,0.5051136363636364,1.0158051858708084,0.9748559521100866,8.53,1
Two,Auburn Hills,MI,5,VCU,88,36,1010,2243,0.45,281,800,0.351,729,1443,0.45,2770,2323,521,479,676,2370.4575844155843,0.5458429233534067,0.5129291127953634,407,0.17169680768632792,469,669,0.2982612572447615,1.1685507550150573,0.9799795681949379,4.47,0
Two,Auburn Hills,MI,12,Akron,42,33,852,1874,0.455,229,689,0.332,623,1185,0.455,2369,2071,485,425,720,2197.300873362445,0.5452695735434926,0.5157417289220918,458,0.20843754515017335,436,678,0.3617929562433298,1.0781409267702198,0.9425199912794957,0.17,1
Two,Auburn Hills,MI,4,Michigan,71,39,1093,2260,0.484,296,769,0.385,797,1491,0.484,2932,2467,565,416,830,2467.9018940609953,0.5766023724867059,0.5491150442477876,368,0.14911451743101775,450,642,0.28407079646017697,1.188053709531913,0.9996345502780456,10.05,0
Two,Auburn Hills,MI,13,South Dakota State,56,35,910,1938,0.47,270,694,0.389,640,1244,0.47,2568,2300,506,331,794,2230.1673244444446,0.5799772345384573,0.5392156862745098,365,0.16366484971746453,478,627,0.3235294117647059,1.1514831070532847,1.031312751644297,-3.27,1
Two,Austin,TX,6,UCLA,63,35,961,2131,0.451,171,514,0.333,790,1617,0.451,2604,2427,559,387,778,2388.532789699571,0.5332481446896349,0.49108399812294695,391,0.16369882033278677,511,706,0.331299859221023,1.0902090233927793,1.0161049538303668,7.82,1
Two,Austin,TX,11,Minnesota,83,34,815,1838,0.443,184,546,0.337,631,1292,0.443,2337,2115,503,501,685,2148.2057251264755,0.5374489457997572,0.49347116430903154,467,0.21739072498398887,523,764,0.41566920565832427,1.0878846344487836,0.9845425767476155,10.3,0
Two,Austin,TX,3,Florida,79,37,960,2010,0.478,300,794,0.378,660,1216,0.478,2642,2012,540,381,798,2297.1351145038166,0.578340892772709,0.5522388059701493,401,0.17456526499818728,422,623,0.3099502487562189,1.150128254676336,0.8758735989435231,6.83,0
Two,Austin,TX,14,Northwestern State,47,32,919,2007,0.458,189,603,0.313,730,1404,0.458,2559,2285,489,435,698,2318.03654015887,0.544931856899489,0.5049825610363727,448,0.1932670138018168,532,775,0.3861484803188839,1.1039515364260026,0.9857480503061414,-3.77,1
Two,Philadelphia,PA,7,San Diego State,70,34,839,1916,0.438,202,618,0.327,637,1298,0.438,2356,2077,425,376,768,2226.042447552448,0.5299908218906906,0.4906054279749478,410,0.18418337011084332,476,697,0.3637787056367432,1.0583805365393826,0.9330459993176136,6.19,0
Two,Philadelphia,PA,10,Oklahoma,55,32,803,1847,0.435,159,493,0.323,644,1354,0.435,2260,2122,394,377,689,2089.5351219512195,0.5293335082163803,0.4778018408229561,376,0.17994433118161188,495,654,0.35408770979967513,1.0815802884852204,1.0155368903387776,7.09,1
Two,Philadelphia,PA,2,Georgetown,68,32,737,1627,0.453,189,536,0.353,548,1091,0.453,2070,1806,474,297,662,1978.674973931178,0.5474568381855112,0.5110633066994469,407,0.20569320649534642,407,599,0.3681622618315919,1.0461546374579043,0.9127320170284905,7.59,1
Two,Philadelphia,PA,15,Florida Gulf Coast,78,37,976,2112,0.462,247,722,0.342,729,1390,0.462,2696,2469,523,412,814,2542.9218270799347,0.5534025223331581,0.5205965909090909,545,0.2143203908968879,497,736,0.3484848484848485,1.0601977501981832,0.9709303580264518,-2.07,0
Three,Lexington,KY,1,Louisville,79,40,1048,2300,0.456,230,691,0.333,818,1609,0.456,2978,2351,584,531,854,2649.390729241877,0.55050280981958,0.5056521739130435,495,0.1868354088117626,652,920,0.4,1.1240320150331902,0.8873738305382908,9.13,0
Three,Lexington,KY,16,North Carolina A&T,48,37,776,1927,0.403,215,707,0.304,561,1220,0.403,2299,2291,405,387,779,2405.8370583190394,0.5035129831446894,0.458484691229891,564,0.2344298413933599,532,809,0.419823559937727,0.9555925627009476,0.9522673167237368,-6.3,1
Three,Lexington,KY,8,Colorado State,84,35,881,1961,0.449,180,532,0.338,701,1429,0.449,2553,2229,445,493,804,2252.7472629144177,0.5461663529009071,0.4951555328913819,389,0.1726780480011522,611,855,0.4360020397756247,1.1332829217145026,0.9894585321197126,5.89,0
Three,Lexington,KY,9,Missouri,72,34,924,2015,0.459,215,635,0.339,709,1380,0.459,2588,2268,472,454,812,2320.769684044234,0.55640597856934,0.5119106699751861,442,0.19045405627229636,525,706,0.35037220843672456,1.1151472797119977,0.9772619901030953,6.0,1
Three,San Jose,CA,5,Oklahoma State,55,33,814,1854,0.439,183,580,0.316,631,1274,0.439,2371,2079,398,354,756,2210.507027027027,0.5427020197396129,0.488403451995685,411,0.18593019383103496,560,751,0.40507011866235165,1.0726045975021505,0.9405082067511477,6.73,1
