Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,New Orleans,LA,1,Kentucky,100,38,1066,2228,0.478,231,697,0.331,835,1531,0.478,3012,2468,573,538,1046,2732.1039646464646,0.5671803678763502,0.5302962298025135,538,0.1969178358370478,649,971,0.4358168761220826,1.1024470660616876,0.90333312053129,6.82,0
One,New Orleans,LA,16,ETSU,71,35,855,1978,0.432,177,575,0.308,678,1403,0.432,2424,2362,382,445,832,2404.271378230227,0.518702388085252,0.4769969666329626,519,0.21586581477421798,537,815,0.4120323559150657,1.0082056551304517,0.982418216756653,-1.47,1
One,New Orleans,LA,8,Texas,80,34,1005,2158,0.466,195,566,0.345,810,1592,0.466,2761,2381,489,503,922,2537.7220140350873,0.5425811218714627,0.5108897126969416,464,0.18284114549734312,556,878,0.4068582020389249,1.087983626547768,0.9382430332525301,7.38,1
One,New Orleans,LA,9,Wake Forest,81,31,811,1869,0.434,134,435,0.308,677,1434,0.434,2257,2155,369,463,843,2243.464793261868,0.5119585533598272,0.46976993044408777,471,0.20994312075439045,501,762,0.40770465489566615,1.0060331710035229,0.9605677817955657,8.85,0
One,Jacksonville,FL,5,Temple,65,35,851,1942,0.438,204,605,0.337,647,1337,0.438,2273,1987,515,377,904,2169.6414597970333,0.522163821145682,0.49073120494335737,358,0.1650042214963436,367,533,0.2744593202883625,1.0476385348077906,0.9158195198693708,4.27,1
One,Jacksonville,FL,12,Cornell,78,34,913,1894,0.482,326,759,0.43,587,1135,0.482,2596,2192,543,349,800,2204.370731070496,0.609183750093865,0.5681098204857444,414,0.18780869940100844,393,538,0.2840549102428722,1.1776603469686424,0.9943880895821511,-0.91,0
One,Jacksonville,FL,4,Wisconsin,53,33,776,1750,0.443,246,690,0.357,530,1060,0.443,2214,1878,412,320,736,1950.387878787879,0.5535221408856354,0.5137142857142857,289,0.1481756542599141,416,568,0.32457142857142857,1.1351588184479233,0.9628853934260162,7.66,0
One,Jacksonville,FL,13,Wofford,49,35,825,1873,0.44,203,580,0.35,622,1293,0.44,2408,2134,469,402,841,2258.339726468222,0.5379322670002681,0.49466097170315004,416,0.18420612059575958,555,830,0.44313934863854776,1.0662700442177622,0.9449419744022859,-2.57,1
One,San Jose,CA,6,Marquette,78,34,861,1890,0.456,274,664,0.413,587,1226,0.456,2485,2198,516,343,728,2154.3825490196077,0.5698495688864428,0.5280423280423281,353,0.1638520513270214,489,660,0.3492063492063492,1.153462740928182,1.0202459173280256,8.23,1
One,San Jose,CA,11,Washington,80,36,1004,2212,0.454,191,568,0.336,813,1644,0.454,2851,2519,515,476,888,2582.9306744868036,0.5461267335836335,0.4970614828209765,460,0.1780922750051727,652,905,0.40913200723327303,1.1037849479124942,0.9752487842131087,7.49,0
One,San Jose,CA,3,New Mexico,62,35,887,2023,0.438,273,739,0.369,614,1284,0.438,2655,2352,497,458,889,2360.305152190052,0.5478835804140391,0.5059317844784973,387,0.16396185028910987,608,909,0.4493326742461691,1.1248545543090096,0.9964813226873034,3.84,0
One,San Jose,CA,14,Montana,57,32,791,1636,0.483,210,526,0.399,581,1110,0.483,2228,1960,396,283,765,2023.0449904580153,0.5859087370879179,0.5476772616136919,390,0.1927787082538903,436,603,0.36858190709046457,1.1013101589478655,0.9688365850708333,-2.35,1
One,Buffalo,NY,7,Clemson,78,32,851,1878,0.453,216,631,0.342,635,1247,0.453,2350,2065,453,420,758,2227.8056027164685,0.5425347222222222,0.5106496272630457,480,0.21545865555536506,432,654,0.34824281150159747,1.0548496678231414,0.9269210910871434,7.9,1
One,Buffalo,NY,10,Missouri,86,34,926,2104,0.44,258,701,0.368,668,1403,0.44,2627,2252,522,441,759,2358.3809499999998,0.5431815926158733,0.501425855513308,432,0.18317651353145473,517,714,0.33935361216730037,1.113899770942434,0.9548923807241575,6.36,0
One,Buffalo,NY,2,West Virginia,77,38,942,2190,0.43,257,762,0.337,685,1428,0.43,2752,2414,589,585,882,2455.6944785276073,0.5350088649724719,0.48881278538812784,451,0.18365476810878034,611,868,0.3963470319634703,1.1206605805662162,0.9830213086798132,10.26,0
