Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Pittsburgh,PA,1,Syracuse,72,37,1006,2156,0.467,233,668,0.349,773,1488,0.467,2742,2257,564,459,722,2350.3616426756985,0.5555195384041881,0.5206400742115028,389,0.16550644502398987,495,709,0.32884972170686455,1.166628977521286,0.9602777542908615,8.02,0
One,Pittsburgh,PA,16,UNC Asheville,65,34,920,1907,0.482,223,629,0.355,697,1278,0.482,2745,2426,566,377,716,2355.931079597438,0.5967598873004278,0.5409019402202412,456,0.1935540491608598,682,893,0.46827477713686416,1.165144440672281,1.029741498386504,-2.71,1
One,Pittsburgh,PA,8,Kansas State,70,33,812,1849,0.439,183,546,0.335,629,1303,0.439,2343,2114,468,471,658,2179.6975287865366,0.5323644890391537,0.48864250946457544,474,0.21746136504723268,536,799,0.4321254732287723,1.074919785454992,0.9698593369406115,7.53,0
One,Pittsburgh,PA,9,Southern Miss,64,34,819,1975,0.415,215,601,0.358,604,1374,0.415,2426,2212,374,471,662,2149.399364518976,0.5233501311611211,0.4691139240506329,377,0.17539783728575287,573,779,0.3944303797468354,1.1286874091650834,1.0291247110771495,3.61,1
One,Albuquerque,NM,5,Vanderbilt,79,36,885,1921,0.461,307,792,0.388,578,1129,0.461,2615,2339,458,361,764,2338.288248888889,0.5785910257544915,0.5406038521603331,465,0.19886342080406869,538,770,0.40083289953149404,1.1183394524787948,1.0003043898079926,8.04,0
One,Albuquerque,NM,12,Harvard,70,31,695,1490,0.466,185,518,0.357,510,972,0.466,2033,1724,401,262,661,1872.7370530877574,0.5776487168413157,0.5285234899328859,379,0.20237758385519586,458,613,0.41140939597315435,1.0855768548221982,0.9205777165339252,-1.56,1
One,Albuquerque,NM,4,Wisconsin,73,36,797,1875,0.425,285,775,0.368,512,1100,0.425,2304,1915,428,349,763,2062.987823741007,0.5413533834586466,0.5010666666666667,320,0.15511482729922968,425,575,0.30666666666666664,1.1168267565544536,0.9282652946188277,8.24,0
One,Albuquerque,NM,13,Montana,49,32,781,1689,0.462,195,524,0.372,586,1165,0.462,2239,1985,436,286,663,2066.001095890411,0.5640707821915876,0.5201302545885139,401,0.19409476635692485,482,672,0.3978685612788632,1.0837361143968947,0.9607932948092166,-3.38,1
One,Nashville,TN,6,Cincinnati,65,37,924,2194,0.421,260,763,0.341,664,1431,0.421,2522,2276,479,489,736,2311.7493061224486,0.5091000113043619,0.4804010938924339,403,0.17432686101935566,414,643,0.29307201458523247,1.090948743153387,0.9845358205460385,6.28,0
One,Nashville,TN,11,Texas,59,34,836,1927,0.434,197,601,0.328,639,1326,0.434,2470,2270,419,453,665,2207.9958765652955,0.5398199143281754,0.4849507005708355,426,0.19293514291461233,601,820,0.425531914893617,1.118661509387541,1.028081630084906,8.12,1
One,Nashville,TN,3,Florida State,66,35,877,1923,0.456,216,611,0.354,661,1312,0.456,2443,2201,427,398,771,2359.5481950384947,0.5508803261536241,0.5122204888195527,550,0.23309547190284327,473,669,0.34789391575663026,1.0353677051975385,0.9328056975602874,7.62,0
One,Nashville,TN,14,St. Bonaventure,63,32,770,1687,0.456,174,504,0.345,596,1183,0.456,2254,2081,444,352,686,2077.265048169557,0.563669100730219,0.5080023710729105,439,0.21133557337174558,540,710,0.4208654416123296,1.085080597676343,1.0017980140924887,2.84,1
One,Pittsburgh,PA,7,Gonzaga,77,33,823,1740,0.473,215,567,0.379,608,1173,0.473,2436,2086,455,359,736,2172.51305022831,0.5818508398142663,0.5347701149425287,433,0.199308353961094,575,803,0.4614942528735632,1.1212821021922055,0.9601783518772334,3.25,0
One,Pittsburgh,PA,10,West Virginia,54,33,838,1914,0.438,174,583,0.298,664,1331,0.438,2346,2194,477,493,642,2131.5112246696035,0.5238571607209846,0.4832810867293626,422,0.19798159874359209,496,739,0.38610240334378265,1.1006275607878366,1.0293166531835096,7.53,1
