Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Raleigh,NC,1,UNC,113,39,1250,2564,0.488,216,580,0.372,1034,1984,0.488,3454,2828,656,605,1090,3012.1605309734514,0.5770130304042767,0.5296411856474259,560,0.18591306613363753,738,975,0.38026521060842433,1.1466852329028285,0.9388609839748695,8.12,0
One,Raleigh,NC,16,Mount St. Mary's,74,34,822,1856,0.443,204,565,0.361,618,1291,0.443,2353,2301,437,345,807,2297.862239583333,0.5416866182916498,0.4978448275862069,486,0.21150092970243745,505,718,0.38685344827586204,1.0239952419543936,1.001365512850429,-5.12,1
One,Raleigh,NC,8,Indiana,72,33,839,1814,0.463,221,633,0.349,618,1181,0.463,2476,2156,436,386,861,2244.069366479551,0.5762427853286166,0.5234288864388092,449,0.20008294160014395,577,760,0.4189636163175303,1.103352702454246,0.9607546148995776,6.08,1
One,Raleigh,NC,9,Arkansas,86,35,936,2001,0.468,207,607,0.341,729,1394,0.468,2593,2392,505,446,828,2436.268053375196,0.5553604167023628,0.5194902548725637,531,0.2179563120176184,514,758,0.37881059470264866,1.0643328004928145,0.9818295637403827,6.73,0
One,Denver,CO,5,Notre Dame,68,33,914,2015,0.454,274,677,0.405,640,1338,0.454,2608,2297,608,436,935,2343.7548358862146,0.5628355864021685,0.5215880893300248,429,0.18303962233225116,506,686,0.3404466501240695,1.1127443707284639,0.9800513111822399,7.03,0
One,Denver,CO,12,George Mason,50,34,827,1778,0.465,205,591,0.347,622,1187,0.465,2356,2124,445,340,830,2171.0958974358973,0.5638845807723974,0.5227784026996626,406,0.18700233392707027,497,707,0.39763779527559057,1.0851662530349202,0.9783077765051658,-0.75,1
One,Denver,CO,4,Washington State,71,35,815,1716,0.475,214,581,0.368,601,1135,0.475,2325,1975,482,274,770,2085.3777969348657,0.5792689003607662,0.5372960372960373,358,0.17167153142523925,481,661,0.38519813519813517,1.1149058954292772,0.9470705993431495,6.35,0
One,Denver,CO,13,Winthrop,40,34,795,1814,0.438,217,586,0.37,578,1228,0.438,2205,1990,435,393,802,2163.622853556485,0.5224821337175137,0.4980705622932745,439,0.2029004266054907,398,673,0.3710033076074972,1.0191240106266675,0.9197536422435684,-1.45,1
One,Birmingham,AL,6,Oklahoma,72,35,831,1880,0.442,220,632,0.348,611,1248,0.442,2378,2234,436,391,849,2268.2724758064514,0.5403759453170448,0.500531914893617,451,0.19882972826695058,496,728,0.3872340425531915,1.048374930862103,0.9848904943422785,7.85,0
One,Birmingham,AL,11,St. Joseph's,64,34,859,1800,0.477,247,640,0.386,612,1160,0.477,2484,2292,502,337,749,2205.555073664825,0.587345124373404,0.5458333333333333,432,0.19586906042757488,519,715,0.3972222222222222,1.1262470974585554,1.0391941817129666,3.98,1
