Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Pittsburgh,PA,1,Villanova,93,36,916,1951,0.47,326,837,0.389,590,1114,0.47,2754,2193,570,371,864,2326.3166396761135,0.5962071354347074,0.5530497180932855,382,0.16420808478298327,596,815,0.4177344951307022,1.1838457211841256,0.9426919631651369,7.55,0
One,Pittsburgh,PA,16,Lafayette,52,33,872,1799,0.485,261,640,0.408,611,1159,0.485,2426,2409,514,282,735,2109.5626548672562,0.5944446622495786,0.557254030016676,366,0.17349567653539566,421,549,0.3051695386325737,1.150001396925874,1.141942854573137,-3.12,1
One,Pittsburgh,PA,8,NC State,66,36,895,2054,0.436,236,661,0.357,659,1393,0.436,2525,2367,415,435,934,2325.7484660336013,0.5318297470807286,0.49318403115871473,375,0.16123841656855345,499,727,0.3539435248296008,1.0856720048949267,1.0177368853807094,9.72,0
One,Pittsburgh,PA,9,LSU,65,33,892,1962,0.455,189,558,0.339,703,1404,0.455,2423,2233,516,401,893,2346.4048686244205,0.5380809408754974,0.5028032619775739,476,0.20286354088544614,450,658,0.33537206931702346,1.0326436125324285,0.9516686697420194,5.63,1
One,Seattle,WA,5,Northern Iowa,71,35,776,1618,0.48,257,645,0.398,519,973,0.48,2281,1912,413,255,816,2024.0904761904762,0.5998338031724659,0.5590234857849197,363,0.17933980929706228,472,644,0.3980222496909765,1.1269259091090884,0.9446218054434796,2.0,0
One,Seattle,WA,12,Wyoming,54,35,747,1619,0.461,209,642,0.326,538,977,0.461,2151,1974,501,216,831,2073.7103724928365,0.5661360621565283,0.5259419394688079,392,0.18903314811931585,448,638,0.39407041383570107,1.0372711775628785,0.9519169244579834,-0.04,1
One,Seattle,WA,4,Louisville,57,36,878,2048,0.429,198,644,0.307,680,1404,0.429,2483,2154,419,454,897,2352.102294596595,0.5180514754973962,0.47705078125,408,0.17346184344842677,529,792,0.38671875,1.0556513658883424,0.9157764970291944,8.98,0
One,Seattle,WA,13,UC-Irvine,55,34,854,1851,0.461,217,558,0.389,637,1293,0.461,2295,2113,480,329,869,2170.433464106845,0.5492953701221613,0.5199891950297136,396,0.18245203391339987,370,541,0.2922744462452728,1.05739246927084,0.9735382516641765,0.45,1
One,Columbus,OH,6,Providence,53,34,828,1889,0.438,171,546,0.313,657,1343,0.438,2370,2227,474,411,817,2223.23585504886,0.5321250875648879,0.48358920063525673,407,0.1830664970051301,543,768,0.4065643197458973,1.0660137540593573,1.0016930929494468,9.5,1
One,Columbus,OH,11,Dayton,66,36,810,1755,0.462,239,670,0.357,571,1085,0.462,2439,2190,490,255,866,2278.3881801962534,0.5732780504315451,0.5296296296296297,415,0.18214631010078938,580,846,0.48205128205128206,1.070493615267049,0.9612058292065754,4.06,0
One,Columbus,OH,3,Oklahoma,69,35,885,2035,0.435,236,688,0.343,649,1347,0.435,2501,2196,430,389,943,2361.842267267267,0.5369441629596551,0.4928746928746929,419,0.1774038875529133,495,668,0.32825552825552823,1.0589191474220434,0.9297826660291112,9.94,0
One,Columbus,OH,14,Albany (NY),60,33,729,1666,0.438,205,572,0.358,524,1094,0.438,2156,1996,349,334,777,2005.591305130513,0.5522540983606558,0.49909963985594236,381,0.18996891292127266,493,650,0.39015606242497,1.0749946883418997,0.9952177170363785,-5.18,1
One,Charlotte,NC,7,Michigan State,70,39,1014,2181,0.465,294,763,0.385,720,1418,0.465,2773,2482,646,436,1022,2534.192016460905,0.5556757883261996,0.53232462173315,441,0.17401996262930114,451,714,0.32737276478679506,1.0942343681883266,0.9794048690383796,10.0,0
One,Charlotte,NC,10,Georgia,63,33,747,1730,0.432,184,538,0.342,563,1192,0.432,2250,2124,411,360,900,2179.882857142857,0.5373929990828493,0.48497109826589596,420,0.19267090367896572,572,826,0.4774566473988439,1.0321655554230307,0.9743642843193409,8.6,1
One,Charlotte,NC,2,Virginia,79,34,804,1758,0.457,170,483,0.352,634,1275,0.457,2224,1751,430,358,874,2022.97724025974,0.5482802145787314,0.5056882821387941,316,0.15620541532114676,446,614,0.3492605233219568,1.0993697584627544,0.8655559564155949,7.81,0
One,Charlotte,NC,15,Belmont,67,33,858,1803,0.476,329,866,0.38,529,937,0.476,2450,2330,504,307,786,2203.98989021043,0.5945447485925063,0.5671103716028841,451,0.20462888781987104,405,585,0.324459234608985,1.111620344032559,1.0571736333044335,-2.77,1
Two,Charlotte,NC,1,Duke,85,39,1099,2191,0.502,283,732,0.387,816,1459,0.502,3091,2502,588,445,991,2599.1137883008355,0.6001662058467179,0.5661798265632132,421,0.16197828732816955,610,873,0.3984481971702419,1.1892515110008839,0.9626358073517345,9.87,0
