Region,GameCity,GameState,seed,team,score,games,fg,fga,fgPerc,3p,3pa,3pPerc,2p,2pa,2pPerc,pts,opp_pts,ast,orb,drb,poss,tsPerc,efgPerc,tov,toPerc,ft,fta,ftr,ortg,drtg,sos,loss
One,Greensboro,NC,1,Duke,95,39,1217,2530,0.481,407,1057,0.385,810,1473,0.481,3538,2750,701,538,967,2959.579681063123,0.5954464670400689,0.5614624505928854,531,0.1794173690938631,697,1002,0.3960474308300395,1.1954400223240822,0.9291859981320594,11.97,0
One,Greensboro,NC,16,Monmouth,52,31,756,1664,0.454,201,570,0.353,555,1094,0.454,2180,2024,439,300,755,2129.9270142180094,0.5554649598434507,0.5147235576923077,471,0.22113433786975323,467,678,0.4074519230769231,1.023509249588242,0.9502673032874321,-8.85,1
One,Greensboro,NC,8,Georgia,68,31,845,1820,0.464,142,411,0.345,703,1409,0.464,2257,2258,471,397,796,2210.6329840737635,0.5378727217265309,0.5032967032967033,485,0.21939417510465262,425,632,0.34725274725274724,1.020974542703507,1.0214269018274342,12.71,1
One,Greensboro,NC,9,Missouri,70,33,847,2015,0.42,279,734,0.38,568,1281,0.42,2493,2402,418,466,793,2346.2200476568705,0.5323556041478039,0.48957816377171215,497,0.211830088356949,520,742,0.36823821339950374,1.0625601816375732,1.023774390811653,9.19,0
One,Greensboro,NC,5,Ohio State,68,31,775,1645,0.471,169,443,0.381,606,1202,0.471,2206,1973,473,355,735,2091.6169724770643,0.565154123626824,0.5224924012158054,471,0.22518463284518253,487,697,0.4237082066869301,1.054686412009496,0.9432893431073145,8.17,1
One,Greensboro,NC,12,Utah State,77,34,852,1755,0.485,200,513,0.39,652,1242,0.485,2404,1959,511,370,807,2234.4636363636364,0.5773516753765755,0.5424501424501424,486,0.21750186133747776,500,743,0.4233618233618234,1.0758734046405278,0.8767204657615616,-1.5,0
One,Greensboro,NC,4,UCLA,61,32,902,1947,0.463,190,535,0.355,712,1412,0.463,2544,2382,464,441,778,2389.084700574241,0.5502301276949164,0.5120698510529019,515,0.2155637260898345,550,829,0.42578325629173086,1.0648429498495902,0.9970345544582249,12.06,0
One,Greensboro,NC,13,Hofstra,48,31,784,1657,0.473,167,503,0.332,617,1154,0.473,2257,1929,414,373,793,2191.980934819897,0.5608623911574093,0.5235365117682559,511,0.233122465566511,522,807,0.48702474351237174,1.0296622402810476,0.8800259023048917,-5.47,1
One,Uniondale,NY,6,USC,69,34,898,1955,0.459,208,597,0.348,690,1358,0.459,2620,2420,514,422,828,2434.377776,0.5600396730394337,0.5125319693094629,512,0.21032068442609708,616,873,0.4465473145780051,1.0762503773366687,0.9940938599827245,10.83,0
One,Uniondale,NY,11,Oklahoma State,54,30,767,1652,0.464,129,395,0.327,638,1257,0.464,2129,1936,406,364,775,2149.7750658472346,0.5387581990444571,0.5033292978208233,506,0.23537346210710816,466,736,0.44552058111380144,0.9903361676403819,0.9005593332793703,4.7,1
One,Uniondale,NY,3,Boston College,68,32,879,1934,0.454,230,651,0.353,649,1283,0.454,2547,2129,464,486,680,2201.6844768439105,0.5583763022203514,0.5139607032057911,423,0.19212562219921978,559,788,0.4074457083764219,1.1568415123910467,0.9669868786338981,5.18,0
One,Uniondale,NY,14,Southern Utah,65,31,783,1602,0.489,197,493,0.4,586,1109,0.489,2243,2015,462,335,662,2046.7460882647945,0.5908477862305861,0.5502496878901373,470,0.22963278283260827,480,673,0.42009987515605496,1.0958858125394475,0.9844894838461822,-3.42,1
One,Uniondale,NY,7,Iowa,69,35,815,1895,0.43,210,573,0.366,605,1322,0.43,2593,2469,474,482,869,2429.9133974833458,0.5482215043214992,0.48548812664907653,520,0.213999396249497,753,1068,0.5635883905013193,1.0671162201441264,1.016085594884631,10.7,0
One,Uniondale,NY,10,Creighton,56,32,788,1782,0.442,249,694,0.359,539,1088,0.442,2325,2024,490,357,727,2142.5250369003693,0.5548184490855637,0.5120650953984287,426,0.19883081535247873,500,712,0.3995510662177329,1.085168182381486,0.9446797424258614,3.0,1
One,Uniondale,NY,2,Kentucky,72,34,988,2051,0.482,245,708,0.346,743,1343,0.482,2713,2400,539,464,847,2461.8384134248663,0.5696133431873153,0.5414431984397855,513,0.20838085765601627,492,751,0.36616284739151633,1.102021962613591,0.9748812054082633,11.06,0
One,Uniondale,NY,15,Holy Cross,68,30,640,1437,0.445,136,388,0.351,504,1049,0.445,2034,1868,385,388,767,2038.5216277056277,0.5495514968118448,0.49269311064718163,512,0.2511624076200065,618,940,0.6541405706332637,0.9977819083966665,0.9163503465511175,-5.84,1
Two,Memphis,TN,1,Michigan State,69,33,957,1957,0.489,146,453,0.322,811,1504,0.489,2553,2039,579,514,890,2290.6763532763534,0.5651130668838873,0.5263157894736842,451,0.19688508127956833,493,686,0.35053653551354114,1.114517987819818,0.8901301124812413,9.54,0
Two,Memphis,TN,16,Alabama State,35,31,756,1713,0.441,165,506,0.326,591,1207,0.441,2135,1980,410,386,789,2165.0083914893617,0.52866424991581,0.489492119089317,510,0.2355649068173628,458,696,0.4063047285464098,0.9861393648138619,0.9145461088203497,-13.61,1
Two,Memphis,TN,8,California,70,31,813,1699,0.479,176,503,0.35,637,1196,0.479,2304,2128,508,281,717,2148.8725250501,0.5699922813545234,0.5303119482048264,424,0.19731277451654075,502,732,0.43084167157151265,1.0721901709578063,0.9902867551207517,9.08,1
Two,Memphis,TN,9,Fresno State,82,33,954,2030,0.47,241,678,0.355,713,1352,0.47,2689,2342,592,389,851,2537.019774193548,0.5651724311872615,0.5293103448275862,551,0.21718395954369274,540,793,0.39064039408866996,1.0599050221651356,0.9231303688771839,5.14,0
Two,Memphis,TN,5,Virginia,85,29,852,1872,0.455,204,553,0.369,648,1319,0.455,2464,2168,420,437,694,2151.300795755968,0.5589329461936304,0.5096153846153846,399,0.1854691825462702,556,755,0.4033119658119658,1.1453535483559143,1.0077623753391325,8.72,1
Two,Memphis,TN,12,Gonzaga,86,33,915,1793,0.51,245,606,0.404,670,1187,0.51,2720,2271,537,369,896,2369.7598893280633,0.6154737337533037,0.5786391522587842,472,0.19917629719601418,645,947,0.528165086447295,1.1477956109600818,0.9583249384155682,0.32,0
Two,Memphis,TN,4,Oklahoma,68,33,859,1924,0.446,242,636,0.381,617,1288,0.446,2454,2122,444,420,764,2206.9677364864865,0.5532210359255518,0.5093555093555093,420,0.19030636155499217,494,668,0.3471933471933472,1.11193288394274,0.9615002362373652,5.48,1
Two,Memphis,TN,13,Indiana State,70,34,861,1872,0.46,213,594,0.359,648,1278,0.46,2479,2305,521,334,735,2244.8101216089804,0.5604336974607539,0.5168269230769231,402,0.1790797342413372,544,772,0.41239316239316237,1.1043250278215793,1.026812904045478,2.5,0
Two,New Orleans,LA,6,Texas,65,34,819,1990,0.412,215,626,0.343,604,1364,0.412,2396,2211,414,483,863,2376.3829791976223,0.5081869856621701,0.46557788944723616,502,0.21124541136441677,543,835,0.41959798994974873,1.0082549912931127,0.9304055867066245,8.88,1
Two,New Orleans,LA,11,Temple,79,37,926,2168,0.427,281,815,0.345,645,1353,0.427,2604,2366,416,494,828,2247.606686838124,0.5283833579533465,0.4919280442804428,307,0.13658973422608908,471,673,0.3104243542435424,1.1585656935659152,1.0526752807131166,9.77,0
Two,New Orleans,LA,3,Florida,69,31,849,1764,0.481,256,668,0.383,593,1096,0.481,2509,2081,538,319,826,2246.6341048034938,0.5977111166167978,0.5538548752834467,451,0.20074474923874958,555,761,0.43140589569161,1.1167817646120237,0.9262745524741416,7.51,0
Two,New Orleans,LA,14,Western Kentucky,56,31,812,1789,0.454,213,605,0.352,599,1184,0.454,2303,1889,452,441,799,2139.8121048387093,0.5521298835804292,0.5134153158188932,453,0.21170083063631673,466,674,0.3767467859139184,1.0762627217559324,0.8827877904459211,-1.65,1
