year,SeedType,Upset,Region,GameCity,GameState,TopSeed,TopCity,TopST,TopTravel,TopScore,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,BotSeed,BotCity,BotST,BotTravel,BotScore,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS
2013,SevenTen,1,Four,Dayton,OH,Notre Dame,,,,58,35,892,1929,0.462,228,617,0.37,664,1312,0.462,2450,2222,587,387,759,2194.495523560209,0.5565854279119641,0.5215137376879212,393,0.1790844391254086,438,618,0.3203732503888025,1.1164297095604354,1.012533393731954,7.22,Iowa State,,,,76,35,962,2111,0.456,346,924,0.374,616,1187,0.456,2779,2486,560,422,816,2430.3212762520197,0.5748291439823932,0.5376598768356229,460,0.18927538696011434,509,696,0.3297015632401705,1.1434702181786038,1.0229100260496615,6.13
2013,EightNine,0,Two,Kansas City,MO,UNC,,,,78,36,1023,2321,0.441,272,723,0.376,751,1598,0.441,2762,2492,616,478,776,2486.594035087719,0.5292810056722368,0.4993537268418785,433,0.17413377249765868,442,655,0.28220594571305474,1.1107563040150885,1.0021740440280957,8.01,Villanova,,,,71,34,732,1760,0.416,204,617,0.331,528,1143,0.416,2307,2214,413,383,733,2271.1047670250896,0.5362223172613846,0.4738636363636364,533,0.23468754402650233,639,889,0.5051136363636364,1.0158051858708084,0.9748559521100866,8.53
2014,TwoFifteen,0,One,Buffalo,NY,Villanova,,,,73,34,870,1907,0.456,304,855,0.356,566,1052,0.456,2651,2261,523,379,884,2319.2351464766425,0.5813290528568672,0.5359202936549554,406,0.17505771271912246,607,848,0.44467750393287886,1.1430492522620535,0.9748903656599406,7.5,Milwaukee,,,,53,35,808,1888,0.428,245,754,0.325,563,1134,0.428,2465,2469,476,343,839,2350.8609137055837,0.5477485645210034,0.4928495762711864,469,0.19950138150058863,604,823,0.4359110169491525,1.0485520370979764,1.050253541417811,-0.44
2014,ThreeFourteen,0,One,San Antonio,TX,Iowa State,,,,93,36,1062,2239,0.474,301,840,0.358,761,1399,0.474,2989,2678,663,375,1012,2604.1016222062003,0.5754362457453527,0.5415364001786512,380,0.14592364474550085,564,814,0.3635551585529254,1.1478046688007948,1.0283776858643454,9.88,North Carolina Central,,,,75,34,847,1832,0.462,184,545,0.338,663,1287,0.462,2513,2023,500,403,794,2214.9613617376776,0.5670945262853843,0.5125545851528385,389,0.17562383106079213,635,872,0.4759825327510917,1.134557037161364,0.9133342165449422,-8.03
2015,OneSixteen,0,One,Pittsburgh,PA,Villanova,,,,93,36,916,1951,0.47,326,837,0.389,590,1114,0.47,2754,2193,570,371,864,2326.3166396761135,0.5962071354347074,0.5530497180932855,382,0.16420808478298327,596,815,0.4177344951307022,1.1838457211841256,0.9426919631651369,7.55,Lafayette,,,,52,33,872,1799,0.485,261,640,0.408,611,1159,0.485,2426,2409,514,282,735,2109.5626548672562,0.5944446622495786,0.557254030016676,366,0.17349567653539566,421,549,0.3051695386325737,1.150001396925874,1.141942854573137,-3.12
2015,ThreeFourteen,1,Two,Louisville,KY,Iowa State,,,,59,34,940,1973,0.476,263,726,0.362,677,1247,0.476,2645,2346,546,323,898,2344.0043161343165,0.5774503982115412,0.5430816016218956,375,0.1599826405688716,502,721,0.36543335022807905,1.1284108914791076,1.0008513993988606,9.15,Alabama-Birmingham,,,,60,36,873,2042,0.428,202,607,0.333,671,1435,0.428,2476,2452,516,434,888,2399.364432677761,0.5253331070185862,0.47698334965719885,482,0.20088653204801984,528,715,0.3501469147894221,1.0319399447114048,1.0219372958127482,1.62
2016,TwoFifteen,0,Two,Brooklyn,NY,Villanova,,,,86,40,1086,2247,0.483,347,959,0.362,739,1288,0.483,3118,2543,637,351,1034,2678.5720072202166,0.603318834073776,0.5605251446372942,440,0.16426663118033016,599,766,0.3408989764129951,1.1640530818642487,0.9493864615717719,9.71,UNC Asheville,,,,56,34,898,1973,0.455,195,603,0.323,703,1370,0.455,2552,2313,422,396,882,2383.7845070422536,0.5479875629155,0.5045615813482007,444,0.18625844688910462,561,808,0.4095286365940193,1.0705665686058445,0.9703058280506733,-3.25
2016,FourThirteen,0,Three,Denver,CO,Iowa State,,,,94,35,1087,2159,0.503,293,758,0.387,794,1401,0.503,2862,2625,577,304,940,2501.8944051446942,0.5945851615476666,0.5713293191292265,398,0.15907945562434003,395,563,0.26076887447892544,1.143933170846385,1.0492049522962126,10.16,Iona,,,,81,33,919,2011,0.457,327,884,0.37,592,1127,0.457,2628,2451,551,348,870,2359.5600000000004,0.5719409429626018,0.5382894082545997,422,0.17884690366000439,463,651,0.32371954251616114,1.1137669735035343,1.0387529878451913,-1.78
2017,OneSixteen,0,One,Buffalo,NY,Villanova,,,,76,36,965,1948,0.495,311,843,0.369,654,1105,0.495,2779,2256,505,316,892,2347.2576490066226,0.6182039828442277,0.5752053388090349,402,0.17126368729488622,538,681,0.3495893223819302,1.1839347935136537,0.9611215884011525,9.28,Mount St. Mary's,,,,56,36,877,1977,0.444,261,730,0.358,616,1247,0.444,2446,2474,403,276,806,2404.767097966728,0.5414858762064996,0.5096105209914011,472,0.19627680385309831,431,640,0.32372281234193223,1.017146318272624,1.0287898574842484,-3.51
2017,FiveTwelve,0,Three,Milwaukee,WI,Iowa State,,,,84,35,1031,2186,0.472,344,860,0.4,687,1326,0.472,2829,2529,553,318,901,2460.2043478260866,0.576932489313799,0.55032021957914,355,0.14429695659780825,423,604,0.27630375114364136,1.1499044794794353,1.0279633893967806,11.94,Nevada,,,,73,35,933,2082,0.448,320,837,0.382,613,1245,0.448,2792,2496,559,386,965,2460.3342857142857,0.5674889022585733,0.5249759846301633,386,0.15688924966061524,606,859,0.4125840537944284,1.1348051426228956,1.0144962879608694,2.03
2018,OneSixteen,0,One,Pittsburgh,PA,Villanova,,,,87,40,1220,2440,0.5,464,1158,0.401,756,1282,0.5,3463,2807,655,380,1056,2807.759888579387,0.6282838398792417,0.5950819672131148,426,0.15172237545409867,559,718,0.2942622950819672,1.2333675732336706,0.9997293612667958,10.24,Radford,,,,61,36,850,2000,0.425,277,793,0.349,573,1207,0.425,2422,2336,442,414,830,2277.0927652733117,0.5334425767346795,0.49425,441,0.1936679992688257,445,614,0.307,1.0636369483652968,1.025869492725571,-4.08
